rank,title,pages,type,course,academic_year,rating,url,document_id
19,KENYA MEDICAL TRAINING COLLEGE KRCHN OPHTHALMOLOGY END OF YEAR EXAM MARCH 2015,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/opththalmology-year-2-semester-2-notes/151634424?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,151634424
20,KENYA MEDICAL TRAINING COLLEGE KRCHN FUNDAMENTALS OF NURSING FINAL EXAM 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/end-of-first-semester-fundamentals-of-nursing/151052483?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,151052483
21,KENYA MEDICAL TRAINING COLLEGE KRCHN PSYCHOLOGY END OF SEMESTER EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/end-of-first-semester-psychology/150745533?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,150745533
22,KENYA MEDICAL TRAINING COLLEGE: YEAR 1 COMMUNITY HEALTH NURSING EXAM SET 2,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/set-2-paeds-past-papers/150265471?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,150265471
23,KENYA MEDICAL TRAINING COLLEGE KRCHN NURSING END OF YEAR EXAM MARCH 2016,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/perioperative-nursing/147919443?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,147919443
24,KENYA MEDICAL TRAINING COLLEGE KRCHN MICROBIOLOGY END OF SEMESTER EXAM 2013,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/clinical-medicine/end-of-first-semester-microbiology/147875289?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,147875289
25,KENYA MEDICAL TRAINING COLLEGE KRCHN SOCIAL ANTHROPOLOGY SEM 1 EXAM 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/social-anthropology-years-1-semester-1/147106289?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,147106289
26,KENYA MEDICAL TRAINING COLLEGE KRCHN 1ST SEMESTER ANATOMY & PHYSIOLOGY EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/re-sit-end-of-semester-1-anatomy-and-physiology/143964098?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,143964098
27,KENYA MEDICAL TRAINING COLLEGE KRCHN END OF YEAR 3 EXAM SEPT 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/monitoring/137664376?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,137664376
28,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 3 SEM 1 EXAM SEPT 2015,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/child-immunizable-diseases/137127011?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,137127011
29,KENYA MEDICAL TRAINING COLLEGE KRCHN CARDIOVASCULAR END OF YEAR EXAM MARCH 2017,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/cardiovascular-1-effective/132956739?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,132956739
30,KENYA MEDICAL TRAINING COLLEGE BUSIA NURSING END OF SEMESTER EXAM: COMMUNICABLE,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/cat-communicable-important/132770212?queryID=9e4e6576764302323ac3df795138393c&origin=search-results,132770212
1,KENYA MEDICAL TRAINING COLLEGE KRCHN CLASS COMMUNITY DIAGNOSIS SUPP. EXAM SEPT.,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/fundamentals-of-nursing/supp-community-diagnosis/131992553?queryID=3f617252fe274ff614618062dada1681&origin=search-results,131992553
